FID	Number_of	Bee_Family	Bee_Genus	Subgenus	Species	Subspecies	Location_D	Date	Floral_Hos
3697	7	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Calf Creek	4-Jul-01	Stanleya pinnata
3698	5	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Calf Creek	19-Jun-01	Tamarix sp.
3699	1	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Calf Creek	23-Sep-03	Thelypodium integrifolium
3700	9	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Calf Creek	25-Aug-00	Thelypodium integrifolium
3701	23	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Calf Creek	4-Aug-00	Thelypodium integrifolium
3702	3	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Calf Creek	6-Aug-02	Thelypodium integrifolium
3703	4	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Calf Creek. & Alvey Wash, jct.	7-Aug-03	Thelypodium integrifolium
3704	1	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Cougar Knoll, 0.34 mi SW	29-Jun-01	Calochortus nuttallii
3705	2	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Dance Hall Rock, 1.82 mi NW	5-Jun-01	Stanleya pinnata
3706	1	Apidae	Apis	 	mellifera	 	Deer Creek	25-May-01	Poliomintha incana
3707	8	Apidae	Anthophora	(Micranthophora)	petrophila	 	Duffy Mesa, 1.8 mi NNW	2-Jun-03	No Floral Record
3708	1	Apidae	Anthophora	(Mystacanthophora)	urbana	 	Duffy Mesa, 1.8 mi NNW	17-Jun-02	Asclepias speciosa
3709	1	Apidae	Anthophora	(Mystacanthophora)	urbana	 	Duffy Mesa, 1.8 mi NNW	8-Jun-00	Asclepias speciosa
3710	1	Apidae	Anthophora	(Mystacanthophora)	urbana	 	Duffy Mesa, 1.8 mi NNW	3-Jul-03	Cirsium sp.
3711	1	Apidae	Anthophora	(Mystacanthophora)	urbana	 	Duffy Mesa, 1.8 mi NNW	10-Sep-01	Erigeron divergens
3712	1	Apidae	Anthophora	(Mystacanthophora)	urbana	 	Duffy Mesa, 1.8 mi NNW	29-Jul-03	Melilotus alba
3713	1	Apidae	Anthophora	(Mystacanthophora)	urbana	 	Duffy Mesa, 1.8 mi NNW	17-Jun-02	Melilotus officinalis
3714	1	Apidae	Anthophora	(Mystacanthophora)	urbana	 	Duffy Mesa, 1.8 mi NNW	6-Jun-02	Melilotus officinalis
3715	1	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Long Canyon, 1.5 mi S Hwy 89	6-Aug-03	Stanleya pinnata
3716	3	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Paradise Canyon	2-Sep-03	Thelypodium integrifolium
3717	1	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Pioneer Mesa, 1.7 mi WSW	27-Aug-01	Gutierrezia sarothrae
3718	2	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Pioneer Mesa, 1.7 mi WSW	10-Aug-01	Stanleya pinnata
3719	6	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Pioneer Mesa, 1.7 mi WSW	24-Jun-01	Stanleya pinnata
3720	3	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Pioneer Mesa, 1.7 mi WSW	25-Jul-01	Stanleya pinnata
3721	5	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Pioneer Mesa, 1.7 mi WSW	3-Jul-01	Stanleya pinnata
3722	6	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Pioneer Mesa, 1.7 mi WSW	7-Jun-01	Stanleya pinnata
3723	2	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Upper Calf Creek Falls	27-Jun-01	No Floral Record
3724	1	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	Wagon Box Mesa, 1.5 mi W	3-Jul-01	Cleome lutea
3725	4	Andrenidae	Perdita	(Perdita)	n. sp. 2 (aff. zebrata)	 	White Point, 3.4 mi NNW	23-Jul-01	Stanleya pinnata
3726	1	Andrenidae	Perdita	(Perdita)	n. sp. 3 (aff. tortifoliae)	 	Dry Fork	22-May-01	Lepidium montanum
3727	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, N	30-Aug-01	Chrysothamnus depressus
3728	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, N	26-Sep-02	Chrysothamnus linifolius
3729	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, N	10-Oct-02	Chrysothamnus viscidiflorus
3730	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, N	11-Sep-00	Ericameria nauseosa
3731	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, N	18-Sep-01	Eriogonum corymbosum
3732	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, N	18-Sep-03	Eriogonum corymbosum
3733	30	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, N	11-Sep-00	Gutierrezia sarothrae
3734	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, N	30-Aug-01	Gutierrezia sarothrae
3735	63	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, near Spooky Gulch	11-Sep-00	Eriogonum sp.
3736	35	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, near Spooky Gulch	26-Sep-00	Eriogonum sp.
3737	2	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Dry Fork, near Spooky Gulch	26-Sep-00	Grindelia squarrosa
3738	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Left Hand Collet Cyn, 2.7 mi SE	1-Aug-00	No Floral Record
3739	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Twentyfive Mile Wash, 1.5 mi S	27-Aug-01	Eriogonum sp.
3740	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Twentyfive Mile Wash, 1.5 mi S	30-Sep-03	Eriogonum sp.
3741	1	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Twentyfive Mile Wash, 1.5 mi S	27-Aug-01	Grindelia squarrosa
3742	2	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Twentyfive Mile Wash, 1.5 mi S	30-Sep-03	Gutierrezia sarothrae
3743	2	Andrenidae	Perdita	(Perdita)	n. sp. 4 (aff. subfasciata)	 	Twentyfive Mile Wash, 1.5 mi S	26-Sep-00	No Floral Record
3744	2	Andrenidae	Perdita	(Perdita)	n. sp. 5 (aff. sphaeralceae)	 	Dry Fork, N	18-Sep-03	Eriogonum corymbosum
3745	1	Andrenidae	Perdita	(Perdita)	n. sp. 5 (aff. sphaeralceae)	 	Dry Fork, near Spooky Gulch	11-Sep-00	Eriogonum sp.
3746	5	Andrenidae	Perdita	(Perdita)	n. sp. 5 (aff. sphaeralceae)	 	Dry Fork, near Spooky Gulch	26-Sep-00	Eriogonum sp.
3747	2	Andrenidae	Perdita	(Perdita)	n. sp. 5 (aff. sphaeralceae)	 	Horse Pasture Mesa, 1.34 mi SW	5-Oct-03	Eriogonum corymbosum
3748	1	Andrenidae	Perdita	(Perdita)	calloleuca	 	Long Canyon	10-Jul-02	Erigeron utahensis
3749	41	Andrenidae	Perdita	(Perdita)	calloleuca	 	Long Canyon	28-Aug-02	Eriogonum corymbosum
3750	1	Andrenidae	Perdita	(Perdita)	n. sp. 5 (aff. sphaeralceae)	 	Sooner Rocks, 0.28 mi NE	16-Sep-03	Eriogonum corymbosum
3751	1	Andrenidae	Perdita	(Perdita)	n. sp. 6 (aff. luteola)	 	Long Cyn, 0.8 mi NNW mouth	31-Aug-00	Chrysothamnus sp.
3752	1	Andrenidae	Perdita	(Perdita)	n. sp. 7 (aff. laticincta)	 	Long Cyn, 0.8 mi NNW mouth	26-May-00	Poliomintha incana
3753	2	Andrenidae	Perdita	(Perdita)	n. sp. 7 (aff. laticincta)	 	Sooner Rocks, 0.6 mi WNW	4-Jun-03	No Floral Record
3754	2	Andrenidae	Perdita	(Perdita)	n. sp. 7 (aff. laticincta)	 	Sunset Natural Arch, 0.72 mi NE	5-Jun-01	Balsamorhiza sagittata
3755	1	Andrenidae	Perdita	(Perdita)	n. sp. 7 (aff. laticincta)	 	Sunset Natural Arch, 0.72 mi NE	18-Sep-01	Grindelia squarrosa
3756	12	Andrenidae	Perdita	(Perdita)	calloleuca	 	Long Canyon	14-Sep-00	Eriogonum sp.
3757	71	Andrenidae	Perdita	(Perdita)	calloleuca	 	Long Canyon	18-Aug-00	Eriogonum sp.
3758	2	Andrenidae	Perdita	(Perdita)	n. sp. 9 (aff. gerhardi)	 	Cougar Knoll, 1.32 mi SSW	10-Aug-00	Gutierrezia sarothrae
3759	1	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Calf Creek	19-Jun-01	Psilostrophe sparsiflora
3760	1	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Dry Fork, N	14-Aug-03	Eriogonum inflatum
3761	2	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Dry Fork, N	17-Aug-01	Eriogonum inflatum
3762	3	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Dry Fork, N	18-Jun-01	Eriogonum inflatum
3763	9	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Dry Fork, N	24-Jul-01	Eriogonum inflatum
3764	22	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Dry Fork, N	5-Jul-01	Eriogonum inflatum
3765	2	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Dry Fork, N	5-Jul-01	Eriogonum sp.
3766	3	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Dry Fork, N	5-Jul-01	Gilia sp.
3767	1	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Dry Fork, N	6-Jun-01	No Floral Record
3768	1	Apidae	Anthophora	(Mystacanthophora)	urbana	 	Duffy Mesa, 1.8 mi NNW	3-Jul-03	Oenothera sp.
3770	7	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	Long Canyon, 1.5 mi S Hwy 89	6-Aug-03	Eriogonum inflatum
3771	3	Andrenidae	Perdita	(Perdita)	nasuta	obscurescens	White Point, 3.4 mi NNW	24-Jul-01	Eriogonum inflatum
3772	25	Andrenidae	Perdita	(Perdita)	nuda	 	Alvey Wash	27-Jul-00	No Floral Record
3773	26	Andrenidae	Perdita	(Perdita)	nuda	 	Alvey Wash	27-Jul-00	No Floral Record
3774	69	Andrenidae	Perdita	(Perdita)	nuda	 	Alvey Wash, 3 mi S Escalante	28-Jul-00	No Floral Record
3775	1	Andrenidae	Perdita	(Perdita)	nuda	 	Blue Hills	28-Aug-02	Grindelia squarrosa
3776	13	Andrenidae	Perdita	(Perdita)	nuda	 	Calf Creek. & Alvey Wash, jct.	6-Aug-02	Chrysothamnus sp.
3777	1	Andrenidae	Perdita	(Perdita)	nuda	 	Calf Creek. & Alvey Wash, jct.	6-Aug-02	Clematis sp.
3778	1	Andrenidae	Perdita	(Perdita)	nuda	 	Calf Creek. & Alvey Wash, jct.	7-Aug-03	Cleome lutea
3779	1	Andrenidae	Perdita	(Perdita)	nuda	 	Calf Creek. & Alvey Wash, jct.	22-Aug-03	Tamarix sp.
3780	5	Andrenidae	Perdita	(Perdita)	nuda	 	Cottonwood Creek	2-Sep-03	Gutierrezia sarothrae
3781	2	Andrenidae	Perdita	(Perdita)	nuda	 	Cottonwood Creek	2-Sep-03	No Floral Record
3782	1	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	25-Sep-00	Artemisia sp.
3784	1	Andrenidae	Perdita	(Perdita)	nuda	 	Henrieville Spring, 1.06 mi WSW	28-Aug-02	Grindelia squarrosa
3786	1	Andrenidae	Perdita	(Perdita)	nuda	 	Kitchen Corral Pt., 0.35 mi W	4-Sep-03	Senecio sp.
3787	1	Andrenidae	Perdita	(Perdita)	calloleuca	 	Long Canyon	18-Aug-00	Grindelia squarrosa
3788	2	Andrenidae	Perdita	(Perdita)	calloleuca	 	Long Canyon	28-Aug-02	Grindelia squarrosa
3789	1	Andrenidae	Perdita	(Perdita)	nuda	 	Long Cyn, 0.8 mi NNW mouth	31-Aug-00	Aster chilensis
3790	2	Andrenidae	Perdita	(Perdita)	nuda	 	Long Cyn, 0.8 mi NNW mouth	28-Aug-01	Chrysothamnus linifolius
3791	1	Andrenidae	Perdita	(Perdita)	nuda	 	Long Cyn, 0.8 mi NNW mouth	14-Sep-01	Heterotheca villosa
3792	1	Andrenidae	Perdita	(Perdita)	nuda	 	Middle Bench, 3.26 mi NE	22-Aug-03	Gutierrezia sarothrae
3793	2	Andrenidae	Perdita	(Perdita)	nuda	 	Shurtz Bush Creek, jct. Hwy 12	6-Aug-02	Grindelia squarrosa
3794	6	Apidae	Anthophora	(Micranthophora)	peritomae	 	Slide Canyon, 2.14 mi E	10-Sep-03	Aster chilensis
3795	2	Andrenidae	Perdita	(Perdita)	nuda	 	Twentyfive Mile Wash	18-Sep-03	Asteraceae sp.
3796	1	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 2.3 mi NNW	5-Sep-01	Chrysothamnus linifolius
3797	1	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 2.3 mi NNW	17-Sep-01	Ericameria nauseosa
3798	1	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 3.4 mi NNW	5-Sep-01	Chrysothamnus linifolius
3799	5	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 3.4 mi NNW	13-Sep-00	Ericameria nauseosa
3800	18	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 3.4 mi NNW	28-Aug-00	Ericameria nauseosa
3801	1	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 3.4 mi NNW	13-Sep-00	Gutierrezia sarothrae
3802	1	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 3.4 mi NNW	23-Aug-01	Gutierrezia sarothrae
3803	2	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 3.4 mi NNW	23-Aug-01	Hymenopappus filifolius
3804	1	Andrenidae	Perdita	(Perdita)	nuda	 	White Point, 3.4 mi NNW	13-Sep-00	No Floral Record
3805	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Alvey Wash, 3 mi S Escalante	28-Jul-00	No Floral Record
3806	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Big Flat	15-Aug-01	Eriogonum sp.
3807	11	Andrenidae	Perdita	(Perdita)	phymatae	 	Big Flat	15-Aug-01	Gutierrezia sarothrae
3808	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Big Flat	15-Aug-01	Helianthus annuus
3809	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Big Flat	15-Aug-01	No Floral Record
3810	2	Andrenidae	Perdita	(Perdita)	phymatae	 	Burr Tr., 2.0 mi N Studhorse Pks.	28-Aug-02	Gutierrezia sarothrae
3811	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Burr Tr., White Cyn. Flat	28-Aug-02	Chrysothamnus sp.
3812	2	Andrenidae	Perdita	(Perdita)	phymatae	 	Burr Trail, 1.2 mi NNE King Bench	17-Aug-00	Ericameria nauseosa
3813	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Burr Trail, 1.2 mi NNE King Bench	17-Aug-00	Gutierrezia sarothrae
3814	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	11-Aug-03	Chrysothamnus linifolius
3815	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	30-Sep-02	Chrysothamnus linifolius
3816	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	10-Sep-01	Chrysothamnus sp.
3817	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	25-Aug-03	Chrysothamnus sp.
3818	9	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	30-Aug-02	Chrysothamnus sp.
3819	8	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	30-Aug-02	Chrysothamnus viscidiflorus
3820	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	10-Sep-01	Ericameria nauseosa
3821	7	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	25-Aug-00	Ericameria nauseosa
3822	2	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	25-Aug-03	Gutierrezia sarothrae
3823	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	8-Sep-03	Gutierrezia sarothrae
3824	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	11-Aug-03	No Floral Record
3825	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	25-Aug-03	No Floral Record
3826	2	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	8-Sep-03	No Floral Record
3827	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	25-Aug-00	Solidago canadensis
3828	2	Andrenidae	Perdita	(Perdita)	phymatae	 	Calf Creek	4-Aug-00	Solidago canadensis
3829	4	Andrenidae	Perdita	(Perdita)	phymatae	 	Cottonwood Creek	2-Sep-03	Gutierrezia sarothrae
3830	5	Andrenidae	Perdita	(Perdita)	phymatae	 	Cottonwood Creek	2-Sep-03	Gutierrezia sarothrae
3831	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cottonwood Creek	2-Sep-03	Heterotheca villosa
3833	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cottonwood Spr., 1.3 mi NNE	20-Sep-00	Ericameria nauseosa
3834	2	Andrenidae	Perdita	(Perdita)	phymatae	 	Cottonwood Spr., 1.3 mi NNE	4-Oct-00	Ericameria nauseosa
3835	25	Andrenidae	Perdita	(Perdita)	phymatae	 	Cottonwood Spr., 1.3 mi NNE	20-Sep-00	Gutierrezia sarothrae
3836	26	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.34 mi SW	10-Aug-00	Gutierrezia sarothrae
3837	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.34 mi SW	22-Aug-00	Gutierrezia sarothrae
3838	5	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.34 mi SW	22-Aug-01	Gutierrezia sarothrae
3839	6	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.34 mi SW	26-Jul-00	Gutierrezia sarothrae
3840	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.61mi SSW	10-Aug-00	Senecio spartioides
3841	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.73 mi SSE	11-Aug-00	Ericameria nauseosa
3842	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.97 mi SSE	11-Aug-00	Asteraceae sp. (yellow)
3843	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.97 mi SSE	11-Aug-00	Ericameria nauseosa
3844	44	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.97 mi SSE	27-Jul-00	Ericameria nauseosa
3845	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 0.97 mi SSE	27-Jul-00	Gutierrezia sarothrae
3846	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 1.32 mi SSW	22-Aug-01	Ericameria parryi
3847	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 1.32 mi SSW	23-Aug-01	Ericameria parryi
3848	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 1.32 mi SSW	3-Sep-03	Erigeron sp.
3849	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Cougar Knoll, 1.32 mi SSW	26-Jul-00	No Floral Record
3850	4	Andrenidae	Perdita	(Perdita)	phymatae	 	Dance Hall Rock, 1.82 mi NW	4-Sep-01	Asteraceae sp. (yellow)
3851	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dance Hall Rock, 1.82 mi NW	23-Aug-01	Chrysothamnus viscidiflorus
3852	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dance Hall Rock, 1.82 mi NW	4-Sep-01	Chrysothamnus viscidiflorus
3853	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dance Hall Rock, 1.82 mi NW	4-Oct-00	Ericameria nauseosa
3854	20	Andrenidae	Perdita	(Perdita)	phymatae	 	Dance Hall Rock, 1.82 mi NW	21-Sep-00	Gutierrezia sarothrae
3855	4	Andrenidae	Perdita	(Perdita)	phymatae	 	Dance Hall Rock, 1.82 mi NW	26-Sep-02	Gutierrezia sarothrae
3856	18	Andrenidae	Perdita	(Perdita)	phymatae	 	Dance Hall Rock, 1.82 mi NW	4-Sep-01	Gutierrezia sarothrae
3857	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Drip Tank, 0.83 mi NE	3-Sep-02	Baccharis salicifolia
3858	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork	26-Aug-03	Grindelia squarrosa
3859	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork	30-Aug-01	Gutierrezia sarothrae
3860	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, N	26-Sep-02	Chrysothamnus viscidiflorus
3861	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, N	18-Sep-03	Eriogonum corymbosum
3862	4	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, N	18-Sep-03	Gutierrezia microcephala
3863	6	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, N	11-Sep-00	Gutierrezia sarothrae
3864	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, N	18-Sep-03	Gutierrezia sarothrae
3865	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, N	30-Aug-01	Gutierrezia sarothrae
3866	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, N	17-Aug-01	Gutierrezia sp.
3867	4	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, N	18-Sep-03	No Floral Record
3868	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Dry Fork, near Spooky Gulch	26-Sep-00	Ericameria nauseosa
3869	2	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	17-Jun-02	Asclepias speciosa
3870	1	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	8-Jun-00	Asclepias speciosa
3871	2	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	15-Sep-00	Aster chilensis
3872	1	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	9-Oct-02	Aster chilensis
3873	14	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	9-Oct-02	Chrysothamnus depressus
3874	1	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	27-Sep-02	Chrysothamnus linifolius
3875	1	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	10-Sep-01	Chrysothamnus sp.
3876	12	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	27-Sep-02	Chrysothamnus sp.
3877	2	Apidae	Apis	 	mellifera	 	Duffy Mesa, 1.8 mi NNW	29-Sep-03	Chrysothamnus viscidiflorus
3878	2	Andrenidae	Perdita	(Perdita)	phymatae	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	21-Aug-02	Chrysothamnus depressus
3879	5	Andrenidae	Perdita	(Perdita)	phymatae	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	30-Aug-02	No Floral Record
3880	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Escalante Riv., jct Death Hollow, 1.3 mi W	21-Aug-02	Chrysothamnus depressus
3881	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Escalante Riv., jct Death Hollow, 1.3 mi W	30-Aug-02	Chrysothamnus depressus
3882	16	Andrenidae	Perdita	(Perdita)	phymatae	 	Escalante Riv., jct Death Hollow, 1.3 mi W	30-Aug-02	Chrysothamnus viscidiflorus
3883	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Escalante Riv., jct Death Hollow, 1.3 mi W	30-Aug-02	No Floral Record
3884	6	Andrenidae	Perdita	(Perdita)	phymatae	 	Escalante River, jct. Hwy 12	19-Aug-02	Chrysothamnus sp.
3885	1	Andrenidae	Perdita	(Perdita)	phymatae	 	George Hollow, 0.12 mi ESE	10-Aug-00	Ericameria nauseosa
3886	1	Andrenidae	Perdita	(Perdita)	phymatae	 	George Hollow, 0.12 mi ESE	22-Aug-00	Senecio spartioides
3887	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Henrieville Creek, jct Hwy 12	19-Aug-02	Chrysothamnus sp.
3888	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Henrieville Spr., near	28-Aug-02	Chrysothamnus sp.
3891	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Jody's Knoll, 1.0 mi SSW	5-Sep-03	Chrysothamnus greenei
3892	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Jody's Knoll, 1.0 mi SSW	5-Aug-03	Senecio spartioides
3893	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Jody's Knoll, 1.0 mi SSW	5-Sep-03	Sphaeralcea sp.
3894	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Kitchen Corral Pt., 0.35 mi W	4-Sep-03	Gutierrezia sarothrae
3895	4	Andrenidae	Perdita	(Perdita)	phymatae	 	Kitchen Corral Spr., 1.0 mi N	10-Sep-02	Chrysothamnus linifolius
3896	5	Andrenidae	Perdita	(Perdita)	phymatae	 	Kitchen Corral Spr., 1.0 mi N	4-Sep-03	Chrysothamnus sp.
3897	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Kitchen Corral Spr., 1.0 mi N	4-Sep-03	Gutierrezia sarothrae
3898	5	Andrenidae	Perdita	(Perdita)	phymatae	 	Kitchen Corral Spr., 1.0 mi N	6-Aug-03	Gutierrezia sarothrae
3899	5	Andrenidae	Perdita	(Perdita)	phymatae	 	Kitchen Corral Spr., 1.0 mi N	4-Sep-03	No Floral Record
3900	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Kitchen Corral Spr., 1.0 mi N	4-Sep-03	Senecio spartioides
3901	3	Andrenidae	Perdita	(Perdita)	phymatae	 	Lampstand, 0.3 mi SE	17-Aug-00	Cleome lutea
3902	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Lampstand, 0.3 mi SE	17-Aug-00	Ericameria nauseosa
3903	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Lampstand, 0.3 mi SE	3-Aug-00	Tamarix sp.
3904	1	Andrenidae	Perdita	(Perdita)	phymatae	 	Lampstand, 0.9 mi SE	3-Aug-00	Cleome lutea
3905	2	Andrenidae	Perdita	(Perdita)	phymatae	 	Lampstand, 0.9 mi SE	17-Aug-00	Ericameria nauseosa
