FID	Number_of	Bee_Family	Bee_Genus	Subgenus	Species	Subspecies	Location_D	Date	Floral_Hos
9869	1	Megachilidae	Dianthidium	(Dianthidium)	pudicum	pudicum	Duffy Mesa, 1.8 mi NNW	12-Sep-02	Grindelia squarrosa
9870	1	Megachilidae	Dianthidium	(Dianthidium)	pudicum	pudicum	Duffy Mesa, 1.8 mi NNW	29-Jul-02	Grindelia squarrosa
9871	1	Megachilidae	Dianthidium	(Dianthidium)	pudicum	pudicum	Duffy Mesa, 1.8 mi NNW	27-Sep-02	Machaeranthera canescens
9872	1	Megachilidae	Dianthidium	(Dianthidium)	pudicum	pudicum	Duffy Mesa, 1.8 mi NNW	15-Jul-02	Melilotus officinalis
9873	1	Megachilidae	Dianthidium	(Dianthidium)	pudicum	pudicum	Duffy Mesa, 1.8 mi NNW	17-Jun-02	Melilotus officinalis
9874	1	Megachilidae	Dianthidium	(Dianthidium)	pudicum	pudicum	Duffy Mesa, 1.8 mi NNW	17-Jun-03	No Floral Record
9875	1	Megachilidae	Dianthidium	(Dianthidium)	pudicum	pudicum	Duffy Mesa, 1.8 mi NNW	28-Aug-01	Polanisia dodecandra
9876	2	Megachilidae	Dianthidium	(Dianthidium)	ulkei	 	Duffy Mesa, 1.8 mi NNW	3-Jul-03	Cirsium sp.
9877	1	Megachilidae	Dianthidium	(Dianthidium)	ulkei	 	Duffy Mesa, 1.8 mi NNW	12-Aug-03	Grindelia squarrosa
9878	1	Megachilidae	Dianthidium	(Dianthidium)	ulkei	 	Duffy Mesa, 1.8 mi NNW	27-Aug-02	Grindelia squarrosa
9879	1	Apidae	Diadasia	 	diminuta	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	9-Jul-01	Salsola pestifer
9880	1	Apidae	Diadasia	 	diminuta	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	9-Jul-01	Sphaeralcea coccinea
9881	1	Apidae	Diadasia	 	diminuta	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	23-Jul-01	Sphaeralcea sp.
9882	1	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	12-Aug-03	No Floral Record
9883	1	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	14-May-01	Sphaeralcea coccinea
9884	11	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	23-Jul-01	Sphaeralcea coccinea
9885	1	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	24-May-02	Sphaeralcea coccinea
9886	5	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	6-Aug-01	Sphaeralcea coccinea
9887	15	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	9-Jul-01	Sphaeralcea coccinea
9888	1	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	23-Jul-01	Sphaeralcea sp.
9889	1	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	5-Sep-01	Sphaeralcea sp.
9890	2	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	6-Aug-01	Sphaeralcea sp.
9891	10	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	9-Jul-01	Sphaeralcea sp.
9892	2	Apidae	Diadasia	 	diminuta	 	Escalante Riv., jct Death Hollow, 1.3 mi W	21-Aug-02	Stephanomeria exigua
9893	1	Apidae	Diadasia	 	diminuta	 	Escalante River	28-May-01	Sphaeralcea coccinea
9894	12	Apidae	Diadasia	 	diminuta	 	Escalante River	28-May-01	Sphaeralcea coccinea
9895	10	Apidae	Diadasia	 	diminuta	 	Escalante River	28-May-01	Sphaeralcea grossulariifolia
9896	3	Apidae	Diadasia	 	diminuta	 	Escalante River	28-May-01	Sphaeralcea grossulariifolia
9897	1	Apidae	Diadasia	 	diminuta	 	Escalante River, jct Hwy 12	13-Aug-03	Sphaeralcea sp.
9898	1	Apidae	Diadasia	 	diminuta	 	George Hollow, 0.22 mi SE	14-Jun-01	Calochortus nuttallii
9899	2	Apidae	Diadasia	 	diminuta	 	Georgie Hollow, 0.6 mi NE	15-Jun-01	Calochortus aureus
9900	1	Apidae	Diadasia	 	diminuta	 	Georgie Hollow, 0.6 mi NE	31-Jul-03	Gutierrezia sarothrae
9901	1	Apidae	Diadasia	 	diminuta	 	Grosvenor Arch, 0.32 mi SE	12-Sep-03	No Floral Record
